ticker,date,open,high,low,close,volume,dividend,split,adj_open,adj_high,adj_low,adj_close,adj_volume
AAPL,2022-03-01,164.695,166.6,161.97,163.2,83063644.0,0.0,1.0,162.430850134912,164.3096610855,159.743312160975,160.956402696,83063644.0
AAPL,2022-02-28,163.06,165.42,162.43,165.12,92550987.0,0.0,1.0,160.81832735055,163.14588317385,160.196988296025,162.8500074336,92550987.0
AAPL,2022-02-25,163.84,165.12,160.8738,164.85,90836505.0,0.0,1.0,161.5876042752,162.8500074336,158.662182206101,162.583719267375,90836505.0
AAPL,2022-02-24,152.58,162.85,152.0,162.74,140071076.0,0.0,1.0,150.48240149115,160.611214332375,149.91037506,160.50272656095,140071076.0
AAPL,2022-02-23,165.54,166.15,159.75,160.07,88340259.0,0.0,1.0,163.26423346995,163.865847475125,157.553831683125,157.869432472725,88340259.0
AAPL,2022-02-22,164.98,166.69,162.15,164.32,90457637.0,0.0,1.0,162.71193208815,164.398423807575,159.920837605125,162.0610054596,90457637.0
AAPL,2022-02-18,169.82,170.5413,166.19,167.3,82772674.0,0.0,1.0,167.48539403085,168.196777935657,163.905297573825,165.00003781275,82772674.0
AAPL,2022-02-17,171.03,171.91,168.47,168.88,69229966.0,0.0,1.0,168.678759516525,169.546661687925,166.153953199725,166.5583167114,69229966.0
AAPL,2022-02-16,171.85,173.34,170.05,172.55,61077508.0,0.0,1.0,169.487486539875,170.95700271645,167.712232098375,170.177863267125,61077508.0
AAPL,2022-02-15,170.97,172.95,170.25,172.79,62467548.0,0.0,1.0,168.619584368475,170.572364254125,167.909482591875,170.414563859325,62467548.0
AAPL,2022-02-14,167.37,169.58,166.56,168.88,85987949.0,0.0,1.0,165.069075485475,167.24869343865,164.2702109868,166.5583167114,85987949.0
AAPL,2022-02-11,172.33,173.08,168.04,168.64,93223832.0,0.0,1.0,169.960887724275,170.7005770749,165.7298646387,166.3216161192,93223832.0
AAPL,2022-02-10,174.14,175.48,171.55,172.12,88016443.0,0.0,1.0,171.74600469045,173.0675829969,169.191610799625,169.7537747061,88016443.0
